f_shift,in,lp,bp,hp
4,16007,10263,11580,184
4,15779,21942,4671,-8270
4,15552,21232,-4183,-3361
4,15328,14962,-4443,2812
4,15108,12115,44,3191
4,14892,14044,2143,-7
4,14681,16059,710,-1522
4,14475,15658,-953,-500
4,14276,14233,-895,690
4,14084,13629,-54,674
4,13899,13877,324,45
4,13723,14102,31,-218
4,13555,13871,-271,-12
4,13397,13469,-239,206
4,13249,13245,-64,184
4,13111,13191,-7,62
4,12984,13129,-58,11
4,12868,12982,-107,56
4,12764,12824,-87,88
4,12672,12714,-48,74
4,12593,12640,-32,48
4,12526,12580,-39,33
4,12471,12510,-41,37
4,12430,12447,-33,41
4,12402,12401,-13,36
4,12386,12381,0,21
4,12385,12381,0,5
4,12396,12381,0,4
4,12421,12381,0,15
4,12459,12395,27,13
4,12509,12444,46,-8
4,12573,12506,47,-20
4,12649,12569,50,-21
4,12738,12641,59,-21
4,12839,12727,72,-25
4,12951,12837,83,-39
4,13075,12955,84,-46
4,13210,13077,90,-47
4,13356,13214,99,-53
4,13511,13356,110,-55
4,13676,13518,117,-65
4,13850,13689,117,-71
4,14033,13862,119,-71
4,14223,14041,127,-71
4,14420,14234,135,-78
4,14624,14425,145,-77
4,14834,14641,149,-91
4,15049,14856,143,-93
4,15268,15068,145,-91
4,15491,15285,150,-92
4,15717,15507,155,-93
4,15945,15729,162,-93
4,16174,15967,162,-103
4,20,16200,153,-102
4,251,5965,-11568,-161
4,480,-5712,-4652,8289
4,708,-4995,4204,3373
4,933,1279,4460,-2801
4,1156,4138,-30,-3190
4,1374,2202,-2136,22
4,1588,178,-697,1545
4,1797,582,974,519
4,1999,2021,916,-682
4,2196,2630,70,-666
4,2384,2389,-308,-39
4,2565,2159,-21,236
4,2738,2393,289,28
4,2901,2802,260,-194
4,3055,3035,83,-175
4,3198,3091,22,-47
4,3331,3160,78,-1
4,3453,3312,124,-43
4,3564,3473,106,-73
4,3662,3590,72,-62
4,3749,3671,56,-37
4,3823,3745,59,-25
4,3884,3824,57,-29
4,3933,3887,48,-27
4,3968,3939,32,-22
4,3990,3967,18,-8
4,3999,3984,13,0
4,3995,3984,13,9
4,3978,3984,13,5
4,3947,3976,-4,4
4,3903,3940,-21,18
4,3846,3889,-28,28
4,3777,3828,-33,35
4,3695,3768,-43,31
4,3601,3680,-55,43
4,3495,3579,-60,52
4,3377,3475,-66,53
4,3248,3355,-74,59
4,3108,3223,-80,65
4,2958,3088,-91,66
4,2798,2928,-98,79
4,2629,2766,-99,82
4,2451,2598,-103,83
4,2265,2421,-111,86
4,2072,2231,-118,93
4,1871,2042,-124,92
4,1665,1835,-129,101
4,1453,1625,-128,104
4,1236,1413,-130,105
4,1015,1197,-134,106
4,790,977,-140,108
4,563,755,-147,109
4,334,518,-145,118
4,104,286,-138,117
4,16258,63,-138,110
4,16028,10295,11578,174
4,15799,21968,4665,-8272
4,15573,21511,-3954,-3735
4,15348,14967,-4440,2826
4,15128,12119,55,3202
4,14911,14066,2153,-14
4,14700,16087,707,-1529
4,14494,15678,-958,-499
4,14294,14301,-934,660
4,14101,13638,-51,682
4,13916,13883,329,54
4,13739,14122,37,-224
4,13570,13891,-274,-15
4,13411,13484,-243,208
4,13262,13263,-78,187
4,13123,13195,-5,70
4,12995,13131,-53,19
4,12879,12996,-101,50
4,12773,12838,-90,86
4,12680,12723,-53,77
4,12599,12649,-36,49
4,12531,12581,-39,38
4,12476,12509,-38,41
4,12433,12450,-26,39
4,12404,12409,-16,32
4,12387,12388,-8,20
4,12384,12368,-1,20
4,12394,12368,2,15
4,12418,12376,18,9
4,12455,12397,31,6
4,12504,12439,43,-5
4,12567,12500,48,-20
4,12642,12560,52,-19
4,12730,12637,59,-24
4,12829,12726,69,-30
4,12941,12827,77,-36
4,13064,12942,83,-42
4,13198,13064,91,-45
4,13342,13196,102,-49
4,13497,13349,108,-61
4,13661,13506,109,-63
4,13834,13668,117,-65
4,14016,13844,123,-71
4,14205,14026,128,-74
4,14402,14210,138,-74
4,14605,14414,143,-83
4,14814,14622,143,-88
4,15029,14832,143,-89
4,15248,15045,147,-89
4,15470,15264,153,-92
4,15696,15481,160,-91
4,15924,15717,162,-102
4,16153,15950,153,-102
4,0,16171,153,-94
4,230,5941,-11561,-160
4,459,-5729,-4648,8283
4,687,-5274,3967,3750
4,913,1268,4457,-2809
4,1136,4117,-37,-3185
4,1354,2176,-2134,27
4,1569,159,-693,1542
4,1778,567,975,515
4,1981,1948,952,-646
4,2178,2616,69,-669
4,2368,2373,-311,-39
4,2549,2143,-20,235
4,2722,2376,289,29
4,2887,2786,260,-194
4,3041,3015,97,-176
4,3186,3087,24,-58
4,3320,3155,71,-4
4,3442,3299,121,-39
4,3554,3460,109,-72
4,3654,3585,71,-66
4,3741,3661,56,-35
4,3816,3740,58,-28
4,3879,3817,55,-28
4,3929,3880,48,-25
4,3965,3934,34,-22
4,3989,3965,21,-10
4,3999,3985,16,-4
4,3996,3992,15,0
4,3980,3992,9,0
4,3950,3980,-8,4
4,3908,3942,-22,19
4,3852,3893,-26,28
4,3784,3836,-33,33
4,3703,3769,-40,35
4,3610,3687,-49,41
4,3505,3591,-58,48
4,3388,3484,-66,54
4,3260,3364,-72,60
4,3121,3240,-82,61
4,2972,3098,-92,69
4,2813,2941,-94,78
4,2645,2782,-96,79
4,2468,2616,-105,82
4,2282,2438,-111,86
4,2089,2256,-123,88
4,1890,2054,-127,99
4,1684,1849,-125,104
4,1472,1647,-126,100
4,1255,1434,-131,104
4,1035,1216,-135,107
4,811,1005,-143,102
4,584,769,-147,116
4,355,536,-138,117
4,125,315,-138,109
4,16279,86,-142,110
4,16049,10313,11578,177
4,15820,21695,5180,-8236
4,15593,21521,-3953,-3724
4,15369,14984,-4434,2826
4,15148,12145,59,3195
4,14931,14091,2150,-18
4,14719,16106,704,-1527
4,14512,15757,-921,-577
4,14312,14311,-937,670
4,14118,13651,-47,685
4,13932,13903,330,50
4,13754,14136,36,-222
4,13585,13907,-274,-16
4,13425,13516,-256,197
4,13275,13270,-78,194
4,13135,13206,-1,70
4,13006,13147,-51,14
4,12889,13012,-105,47
4,12782,12851,-95,86
4,12688,12732,-58,79
4,12606,12653,-37,54
4,12537,12590,-39,36
4,12480,12515,-39,42
4,12436,12455,-28,39
4,12406,12413,-19,33
4,12388,12384,-6,25
4,12384,12370,6,15
4,12393,12370,6,11
4,12415,12382,16,3
4,12451,12403,23,1
4,12499,12440,33,-5
4,12561,12486,44,-9
4,12635,12548,57,-15
4,12721,12630,65,-27
4,12820,12723,67,-35
4,12930,12820,71,-35
4,13052,12923,84,-35
4,13185,13048,99,-45
4,13329,13190,103,-56
4,13482,13336,103,-58
4,13646,13489,108,-61
4,13818,13651,118,-64
4,13999,13827,124,-71
4,14188,14001,134,-69
4,14384,14200,141,-82
4,14586,14401,139,-86
4,14795,14602,140,-86
4,15009,14810,144,-87
4,15228,15026,149,-91
4,15450,15236,158,-87
4,15675,15471,160,-101
4,15903,15700,153,-101
4,16133,15921,153,-94
4,16363,16150,157,-95
4,209,16384,159,-100
4,438,6882,-11507,-919
4,667,-5220,-5172,8244
4,893,-5059,3957,3748
4,1115,1471,4450,-2803
4,1335,4316,-40,-3181
4,1550,2371,-2135,32
4,1759,398,-787,1546
4,1963,708,935,584
4,2160,2142,943,-650
4,2351,2795,57,-663
4,2533,2538,-315,-29
4,2707,2307,-19,236
4,2872,2518,283,48
4,3027,2928,267,-189
4,3173,3163,83,-177
4,3308,3213,10,-45
4,3432,3270,68,4
4,3544,3406,119,-33
4,3645,3558,109,-68
4,3734,3678,67,-66
4,3810,3749,41,-35
4,3874,3806,44,-18
4,3925,3868,50,-19
4,3962,3927,41,-22
4,3987,3964,29,-16
4,3999,3985,18,-7
4,3997,3993,13,0
4,3982,3993,9,0
4,3953,3981,-7,5
4,3912,3944,-20,19
4,3858,3904,-27,22
4,3791,3843,-35,33
4,3711,3773,-39,38
4,3619,3694,-46,40
4,3515,3600,-55,47
4,3399,3497,-66,51
4,3272,3382,-77,56
4,3134,3245,-82,68
4,2986,3105,-84,71
4,2828,2959,-90,72
4,2660,2800,-100,78
4,2484,2628,-105,85
4,2300,2457,-114,84
4,2107,2264,-119,96
4,1908,2067,-119,100
4,1703,1870,-119,98
4,1491,1670,-127,97
4,1275,1454,-134,104
4,1055,1244,-141,102
4,831,1013,-142,113
4,605,786,-138,114
4,376,565,-138,109
4,146,336,-142,111
4,16300,105,-143,113
4,16070,9609,11520,931
4,15841,21706,5184,-8228
4,15614,21542,-3942,-3730
4,15389,15012,-4434,2819
4,15168,12167,54,3195
4,14950,14108,2149,-14
4,14738,16080,802,-1531
4,14531,15768,-923,-568
4,14330,14327,-931,670
4,14135,13671,-44,681
4,13949,13926,328,45
4,13770,14152,31,-218
4,13600,13935,-270,-30
4,13439,13523,-255,205
4,13288,13281,-72,194
4,13148,13222,3,65
4,13018,13163,-53,12
4,12899,13023,-106,48
4,12792,12867,-101,83
4,12696,12737,-59,85
4,12613,12659,-34,54
4,12543,12596,-37,36
4,12485,12524,-39,39
4,12440,12462,-32,39
4,12408,12414,-18,35
4,12389,12385,-4,25
4,12384,12372,4,15
4,12392,12372,4,10
4,12413,12372,10,15
4,12447,12391,28,8
4,12494,12430,42,-4
4,12554,12490,46,-19
4,12627,12552,46,-21
4,12713,12615,57,-16
4,12810,12707,71,-29
4,12920,12809,77,-37
4,13041,12918,84,-40
4,13172,13040,92,-45
4,13315,13177,97,-53
4,13468,13318,104,-55
4,13630,13475,113,-63
4,13802,13638,116,-66
4,13982,13805,126,-66
4,14170,13995,132,-79
4,14366,14188,129,-82
4,14568,14380,132,-80
4,14776,14579,140,-81
4,14989,14792,146,-89
4,15208,14999,153,-86
4,15430,15227,155,-96
4,15655,15450,152,-96
4,15882,15673,154,-95
4,16112,15901,156,-97
4,16342,16132,157,-98
4,188,16354,164,-94
4,418,6135,-11558,-168
4,646,-5535,-4651,8279
4,872,-4825,4197,3373
4,1095,1707,4279,-2974
4,1315,4271,-230,-3061
4,1530,2347,-2128,32
4,1740,338,-689,1537
4,1945,745,966,512
4,2143,2168,906,-676
4,2334,2767,26,-637
4,2517,2499,-310,-10
4,2692,2287,-19,240
4,2857,2520,288,28
4,3014,2923,253,-192
4,3160,3144,76,-168
4,3296,3196,17,-44
4,3421,3260,71,1
4,3535,3389,122,-29
4,3636,3554,110,-74
4,3726,3670,64,-66
4,3804,3738,42,-33
4,3869,3799,48,-19
4,3921,3862,53,-19
4,3960,3921,47,-23
4,3985,3967,28,-21
4,3998,3984,12,-5
4,3998,3984,12,8
4,3984,3984,12,8
4,3957,3984,1,0
4,3916,3955,-19,12
4,3863,3904,-29,27
4,3797,3844,-30,34
4,3719,3782,-37,34
4,3628,3703,-47,40
4,3525,3609,-56,47
4,3410,3511,-68,48
4,3284,3389,-76,59
4,3147,3255,-79,69
4,3000,3117,-81,71
4,2843,2975,-90,70
4,2676,2816,-100,77
4,2500,2651,-110,80
4,2317,2469,-115,89
4,2125,2278,-114,96
4,1927,2088,-115,95
4,1722,1893,-123,96
4,1511,1686,-129,101
4,1295,1481,-138,99
4,1075,1253,-140,112
4,852,1032,-136,111
4,625,812,-136,108
4,397,586,-141,110
4,167,355,-142,113
4,16321,133,-149,109
4,16091,10352,11573,183
4,15862,22022,4666,-8264
4,15634,21312,-4183,-3358
4,15409,14776,-4267,2992
4,15188,12211,243,3077
4,14970,14134,2142,-17
4,14757,16138,702,-1519
4,14549,15731,-953,-497
4,14348,14306,-894,690
4,14153,13703,-13,652
4,13965,13968,321,25
4,13786,14175,27,-223
4,13615,13932,-279,-6
4,13454,13523,-242,213
4,13302,13299,-63,187
4,13160,13244,-5,61
4,13029,13176,-62,15
4,12909,13033,-111,52
4,12801,12865,-94,91
4,12704,12746,-52,81
4,12620,12670,-33,51
4,12548,12607,-41,34
4,12489,12528,-44,42
4,12443,12461,-33,45
4,12410,12414,-13,36
4,12390,12393,-5,20
4,12384,12373,0,17
4,12390,12373,0,11
4,12410,12373,4,15
4,12443,12386,25,12
4,12489,12425,42,-3
4,12548,12485,46,-19
4,12620,12546,45,-20
4,12704,12609,55,-16
4,12801,12691,72,-23
4,12909,12794,85,-35
4,13029,12914,85,-47
4,13160,13034,85,-47
4,13302,13160,94,-47
4,13454,13302,106,-53
4,13615,13462,113,-64
4,13786,13617,119,-61
4,13965,13795,125,-71
4,14153,13977,128,-76
4,14348,14167,131,-79
4,14549,14362,134,-81
4,14757,14561,141,-82
4,14970,14764,151,-82
4,15188,14988,154,-95
4,15409,15209,150,-96
4,15634,15428,150,-94
4,15862,15650,155,-93
4,16091,15881,158,-98
4,16321,16103,164,-94
4,167,16343,163,-103
4,397,6119,-11565,-169
4,625,-5560,-4656,8285
4,852,-4850,4198,3376
4,1075,1687,4283,-2976
4,1295,4266,-30,-3176
4,1511,2337,-2128,22
4,1722,322,-695,1537
4,1927,723,968,515
4,2125,2148,909,-675
4,2317,2751,27,-639
4,2500,2502,-309,-30
4,2676,2276,-17,233
4,2843,2505,285,29
4,3000,2906,253,-189
4,3147,3130,79,-169
4,3284,3184,18,-46
4,3410,3245,72,3
4,3525,3390,121,-40
4,3628,3547,101,-72
4,3719,3656,61,-58
4,3797,3727,46,-31
4,3863,3790,52,-19
4,3916,3857,56,-22
4,3957,3919,46,-26
4,3984,3960,31,-18
4,3998,3981,20,-7
4,3998,3993,11,0
4,3985,3993,11,0
4,3960,3984,-5,4
4,3921,3950,-17,19
4,3869,3908,-22,24
4,3804,3855,-29,29
4,3726,3793,-40,31
4,3636,3711,-51,41
4,3535,3619,-58,46
4,3421,3515,-66,53
4,3296,3397,-71,60
4,3160,3271,-78,64
4,3014,3133,-82,68
4,2857,2991,-92,69
4,2692,2837,-106,73
4,2517,2659,-110,88
4,2334,2480,-107,91
4,2143,2301,-111,89
4,1945,2111,-118,91
4,1740,1912,-126,96
4,1530,1712,-134,95
4,1315,1492,-140,108
4,1095,1271,-135,112
4,872,1053,-133,109
4,646,834,-138,107
4,418,606,-141,111
4,188,384,-148,108
4,16342,145,-149,118
4,16112,10367,11579,186
4,15882,22046,4671,-8269
4,15655,21336,-4183,-3362
4,15430,14796,-4268,2993
4,15208,12217,45,3191
4,14989,14145,2141,-7
4,14776,16156,707,-1520
4,14568,15751,-953,-498
4,14366,14326,-895,690
4,14170,13721,-14,652
4,13982,13965,318,46
4,13802,14186,26,-217
4,13630,13946,-274,-7
4,13468,13541,-239,209
4,13315,13315,-65,186
4,13172,13258,-7,61
4,13041,13192,-63,12
4,12920,13039,-111,58
4,12810,12874,-92,92
4,12713,12758,-54,79
4,12627,12680,-36,51
4,12554,12608,-40,39
4,12494,12535,-41,40
4,12447,12472,-35,40
4,12413,12418,-18,38
4,12392,12390,-3,25
4,12384,12376,2,15
4,12389,12376,2,7
4,12408,12376,2,12
4,12440,12384,22,13
4,12485,12422,41,-2
4,12543,12481,46,-19
4,12613,12542,44,-21
4,12696,12604,54,-18
4,12792,12682,71,-21
4,12899,12785,84,-35
4,13018,12904,84,-47
4,13148,13023,84,-47
4,13288,13146,95,-45
4,13439,13288,106,-53
4,13600,13440,116,-59
4,13770,13611,119,-70
4,13949,13784,118,-73
4,14135,13959,122,-71
4,14330,14142,132,-73
4,14531,14341,140,-81
4,14738,14540,148,-83
4,14950,14757,148,-93
4,15168,14971,143,-92
4,15389,15184,147,-89
4,15614,15404,155,-92
4,15841,15635,156,-99
4,16070,15856,160,-95
4,16300,16091,161,-101
4,146,16325,155,-102
4,376,6092,-11566,-163
4,605,-5584,-4653,8287
4,831,-4869,4203,3373
4,1055,1404,4457,-2801
4,1275,4256,-33,-3184
4,1491,2318,-2135,25
4,1703,297,-696,1542
4,1908,701,972,516
4,2107,2132,911,-679
4,2300,2736,68,-663
4,2484,2492,-309,-37
4,2660,2259,-23,237
4,2828,2487,286,30
4,2986,2891,256,-191
4,3134,3117,81,-171
4,3272,3172,18,-47
4,3399,3237,72,-1
4,3515,3377,120,-38
4,3619,3535,103,-71
4,3711,3648,66,-62
4,3791,3723,46,-35
4,3858,3783,52,-18
4,3912,3855,54,-24
4,3953,3915,43,-24
4,3982,3956,30,-18
4,3997,3977,21,-5
4,3999,3993,11,-1
4,3987,3993,11,1
4,3962,3983,-4,6
4,3925,3953,-15,17
4,3874,3911,-20,24
4,3810,3861,-28,27
4,3734,3799,-40,31
4,3645,3721,-51,39
4,3544,3624,-57,50
4,3432,3522,-62,53
4,3308,3408,-67,58
4,3173,3287,-76,59
4,3027,3148,-85,68
4,2872,3005,-95,70
4,2707,2843,-102,80
4,2533,2672,-102,86
4,2351,2499,-104,86
4,2160,2321,-111,86
4,1963,2128,-119,92
4,1759,1937,-131,92
4,1550,1720,-135,107
4,1335,1505,-128,109
4,1115,1295,-128,104
4,893,1079,-136,104
4,667,853,-140,110
4,438,633,-146,107
4,209,395,-147,117
4,16363,162,-140,117
4,16133,10395,11581,178
4,15903,22071,4668,-8272
4,15675,21356,-4188,-3359
4,15450,15082,-4444,2815
4,15228,12224,46,3203
4,15009,14161,2150,-8
4,14795,16182,710,-1528
4,14586,15777,-958,-503
4,14384,14338,-899,698
4,14188,13732,-53,679
4,13999,13975,323,52
4,13818,14201,32,-218
4,13646,13966,-272,-12
4,13482,13561,-241,206
4,13329,13332,-68,184
4,13185,13272,-9,62
4,13052,13197,-64,20
4,12930,13047,-107,59
4,12820,12888,-89,87
4,12721,12772,-55,76
4,12635,12691,-41,51
4,12561,12617,-44,40
4,12499,12538,-42,44
4,12451,12475,-34,41
4,12415,12422,-17,38
4,12393,12394,-3,23
4,12384,12377,2,15
4,12388,12377,2,6
4,12406,12377,2,10
4,12436,12385,20,11
4,12480,12421,36,-3
4,12537,12472,43,-13
4,12606,12533,48,-20
4,12688,12593,58,-16
4,12782,12681,70,-28
4,12889,12782,75,-37
4,13006,12892,80,-43
4,13135,13009,84,-45
4,13275,13133,96,-46
4,13425,13269,110,-49
4,13585,13431,118,-65
4,13754,13600,115,-72
4,13932,13766,115,-69
4,14118,13940,123,-69
4,14312,14126,132,-74
4,14512,14317,144,-77
4,14719,14530,146,-91
4,14931,14740,141,-91
4,15148,14948,142,-88
4,15369,15164,149,-90
4,15593,15385,155,-93
4,15820,15605,161,-92
4,16049,15842,161,-102
4,16279,16074,155,-102
4,125,16300,153,-97
4,355,6067,-11564,-160
4,584,-5608,-4651,8289
4,811,-5151,3970,3750
4,1035,1393,4458,-2811
4,1255,4243,-41,-3187
4,1472,2294,-2138,30
4,1684,275,-691,1543
4,1890,684,973,514
4,2089,2061,949,-645
4,2282,2723,65,-666
4,2468,2477,-314,-38
4,2645,2238,-21,241
4,2813,2472,290,28
4,2972,2879,257,-194
4,3121,3100,91,-173
4,3260,3164,18,-52
4,3388,3228,69,-2
4,3505,3363,118,-34
4,3610,3523,108,-72
4,3703,3640,67,-63
4,3784,3713,50,-35
4,3852,3776,55,-19
4,3908,3852,54,-27
4,3950,3912,42,-25
4,3980,3953,30,-18
4,3996,3974,22,-5
4,3999,3992,14,-3
4,3989,3992,14,0
4,3965,3985,-2,5
4,3929,3964,-16,9
4,3879,3922,-27,21
4,3816,3862,-32,33
4,3741,3802,-38,33
4,3654,3723,-45,41
4,3554,3640,-54,41
4,3442,3537,-66,50
4,3320,3419,-71,59
4,3186,3297,-77,62
4,3041,3166,-87,64
4,2887,3012,-95,77
4,2722,2853,-95,82
4,2549,2692,-99,80
4,2368,2519,-108,84
4,2178,2337,-114,88
4,1981,2151,-126,90
4,1778,1943,-128,102
4,1569,1736,-124,104
4,1354,1534,-127,99
4,1136,1318,-135,104
4,913,1098,-138,107
4,687,879,-145,107
4,459,644,-146,116
4,230,412,-140,117
4,0,187,-138,112
4,16153,-41,-140,111
4,15924,10190,11577,175
4,15696,21572,5179,-8237
4,15470,21397,-3954,-3724
4,15248,14860,-4434,2827
4,15029,12021,61,3197
4,14814,13971,2155,-19
4,14605,15992,706,-1531
4,14402,15643,-921,-577
4,14205,14199,-934,670
4,14016,13543,-44,684
4,13834,13804,336,44
4,13661,14047,35,-230
4,13497,13811,-275,-12
4,13342,13421,-251,202
4,13198,13183,-69,194
4,13064,13134,8,60
4,12941,13082,-51,8
4,12829,12947,-105,47
4,12730,12788,-91,87
4,12642,12680,-52,76
4,12567,12607,-29,50
4,12504,12547,-29,35
4,12455,12486,-32,34
4,12418,12430,-22,36
4,12394,12395,-10,28
4,12384,12375,-2,20
4,12387,12368,2,15
4,12404,12368,8,15
4,12433,12383,24,9
4,12476,12422,35,-6
4,12531,12464,41,-8
4,12599,12521,51,-15
4,12680,12596,56,-25
4,12773,12677,62,-28
4,12879,12771,71,-33
4,12995,12874,83,-36
4,13123,12996,90,-46
4,13262,13123,98,-49
4,13411,13266,105,-56
4,13570,13420,108,-63
4,13739,13578,111,-63
4,13916,13747,120,-68
4,14101,13925,125,-71
4,14294,14106,137,-73
4,14494,14307,141,-83
4,14700,14512,141,-88
4,14911,14717,141,-87
4,15128,14926,144,-87
4,15348,15142,151,-89
4,15573,15357,160,-89
4,15799,15593,163,-101
4,16028,15826,153,-103
4,16258,16047,152,-95
4,104,16275,156,-95
4,334,6047,-11563,-161
4,563,-5335,-5165,8252
4,790,-5161,3968,3740
4,1015,1376,4450,-2811
4,1236,4218,-43,-3181
4,1453,2272,-2135,32
4,1665,256,-689,1542
4,1871,605,936,592
4,2072,2051,951,-655
4,2265,2710,63,-669
4,2451,2458,-315,-35
4,2629,2225,-21,237
4,2798,2454,289,31
4,2958,2845,271,-182
4,3108,3091,93,-179
4,3248,3155,16,-55
4,3377,3214,66,1
4,3495,3349,120,-32
4,3601,3510,110,-70
4,3695,3629,73,-64
4,3777,3708,52,-39
4,3846,3771,54,-21
4,3903,3846,54,-27
4,3947,3906,43,-24
4,3978,3948,34,-18
4,3995,3977,21,-9
4,3999,3991,9,0
4,3990,3991,9,4
4,3968,3979,-1,12
4,3933,3958,-8,14
4,3884,3921,-18,21
4,3823,3875,-29,24
4,3749,3813,-41,31
4,3662,3732,-48,41
4,3564,3642,-53,47
4,3453,3543,-58,50
4,3331,3433,-68,54
4,3198,3315,-81,57
4,3055,3173,-90,70
4,2901,3023,-88,76
4,2738,2872,-91,75
4,2565,2712,-101,77
4,2384,2535,-110,85
4,2196,2361,-120,83
4,1999,2161,-126,98
4,1797,1960,-124,101
4,1588,1759,-125,101
4,1374,1551,-129,102
4,1156,1335,-134,106
4,933,1125,-141,102
4,708,891,-145,115
4,480,661,-138,116
4,251,440,-138,109
4,20,211,-142,111
4,16174,-23,-144,115
4,15945,9479,11522,934
4,15717,21581,5187,-8229
4,15491,21420,-3942,-3732
4,15268,14890,-4434,2818
4,15049,12046,55,3195
4,14834,13991,2150,-17
4,14624,15964,802,-1531
4,14420,15654,-921,-569
4,14223,14216,-930,669
4,14033,13562,-42,682
4,13850,13820,335,46
4,13676,14063,35,-230
4,13511,13845,-273,-32
4,13356,13431,-254,207
4,13210,13196,-66,193
4,13075,13148,7,59
4,12951,13093,-52,8
4,12839,12958,-106,46
4,12738,12803,-97,85
4,12649,12682,-51,82
4,12573,12612,-24,49
4,12509,12556,-30,32
4,12459,12494,-37,34
4,12421,12434,-27,39
4,12396,12396,-13,32
4,12385,12375,-1,22
4,12386,12370,0,15
4,12402,12370,2,15
4,12430,12378,22,13
4,12471,12416,36,-4
4,12526,12456,44,-7
4,12593,12518,53,-18
4,12672,12592,54,-26
4,12764,12670,58,-27
4,12868,12757,69,-27
4,12984,12863,83,-36
4,13111,12980,93,-42
4,13249,13117,96,-54
4,13397,13256,98,-56
4,13555,13402,105,-57
4,13723,13561,115,-63
4,13899,13733,120,-70
4,14084,13904,129,-69
4,14276,14097,135,-80
4,14475,14294,134,-85
4,14681,14491,134,-83
4,14892,14692,144,-83
4,15108,14908,150,-91
4,15328,15118,156,-88
4,15552,15349,157,-99
4,15779,15575,153,-99
4,16007,15798,153,-95
4,16237,16026,155,-96
4,83,16257,156,-98
4,313,6750,-11506,-914
4,542,-5345,-5168,8242
4,770,-5181,3957,3745
4,994,1349,4449,-2803
4,1216,4194,-39,-3180
4,1433,2253,-2133,30
4,1646,282,-788,1545
4,1853,593,937,585
4,2054,2033,947,-653
4,2248,2690,61,-666
4,2435,2437,-315,-31
4,2613,2207,-18,237
4,2783,2425,287,45
4,2944,2840,271,-192
4,3095,3082,87,-181
4,3236,3136,12,-47
4,3366,3197,70,4
4,3484,3341,123,-36
4,3592,3499,113,-71
4,3687,3626,70,-69
4,3770,3701,46,-37
4,3841,3764,51,-19
4,3899,3836,56,-23
4,3943,3899,50,-25
4,3975,3950,33,-23
4,3994,3977,17,-10
4,3999,3988,13,0
4,3992,3988,13,5
4,3971,3988,9,0
4,3936,3971,-11,6
4,3889,3933,-28,17
4,3829,3872,-33,34
4,3756,3809,-33,37
4,3671,3741,-41,36
4,3573,3659,-54,39
4,3464,3556,-66,50
4,3343,3443,-73,58
4,3211,3319,-78,63
4,3068,3182,-81,70
4,2915,3042,-86,69
4,2753,2888,-95,75
4,2581,2726,-103,79
4,2401,2557,-114,81
4,2213,2365,-117,95
4,2018,2173,-114,97
4,1815,1982,-117,95
4,1607,1782,-127,97
4,1394,1569,-132,104
4,1176,1362,-138,101
4,954,1134,-140,112
4,728,913,-138,110
4,501,685,-139,113
4,272,457,-139,114
4,41,229,-139,113
4,16195,10,-147,105
4,15966,10229,11572,180
4,15737,21896,4667,-8263
4,15511,21186,-4182,-3358
4,15288,14654,-4264,2989
4,15068,12090,245,3076
4,14853,14014,2143,-17
4,14643,16023,704,-1522
4,14438,15616,-951,-497
4,14240,14193,-891,691
4,14050,13594,-11,652
4,13866,13863,326,24
4,13692,14075,34,-226
4,13526,13842,-273,-13
4,13369,13438,-239,208
4,13223,13217,-62,183
4,13087,13164,-3,61
4,12962,13100,-56,15
4,12849,12971,-106,44
4,12747,12809,-95,88
4,12657,12691,-50,81
4,12580,12622,-26,48
4,12515,12563,-31,33
4,12463,12500,-37,34
4,12424,12441,-31,38
4,12398,12399,-18,34
4,12385,12373,-1,26
4,12386,12370,0,15
4,12400,12370,2,15
4,12427,12378,20,12
4,12467,12411,36,-2
4,12520,12459,41,-12
4,12586,12516,44,-18
4,12665,12578,53,-18
4,12756,12659,64,-26
4,12859,12755,72,-35
4,12973,12853,82,-35
4,13099,12973,89,-44
4,13236,13104,93,-51
4,13383,13242,97,-54
4,13541,13384,107,-54
4,13707,13545,117,-62
4,13883,13711,124,-66
4,14067,13893,129,-74
4,14258,14082,130,-80
4,14457,14273,130,-80
4,14662,14468,138,-80
4,14872,14678,144,-88
4,15088,14882,151,-85
4,15308,15106,154,-95
4,15532,15327,153,-95
4,15758,15553,154,-98
4,15986,15778,153,-96
4,16216,16006,155,-97
4,62,16228,162,-93
4,292,6008,-11559,-166
4,522,-5662,-4651,8280
4,749,-4952,4198,3375
4,974,1585,4283,-2977
4,1196,4150,-228,-3062
4,1413,2227,-2126,32
4,1626,223,-687,1534
4,1834,630,968,512
4,2036,2055,909,-675
4,2230,2659,29,-637
4,2418,2395,-307,-11
4,2597,2187,-14,238
4,2768,2428,292,23
4,2930,2837,256,-197
4,3082,3063,80,-173
4,3223,3119,19,-46
4,3354,3185,74,1
4,3474,3327,127,-36
4,3582,3497,109,-77
4,3679,3614,67,-65
4,3763,3691,48,-36
4,3835,3754,56,-19
4,3894,3833,59,-27
4,3940,3900,48,-30
4,3973,3947,28,-21
4,3993,3968,20,-5
4,4000,3988,15,-2
4,3993,3988,15,5
4,3973,3988,11,0
4,3940,3975,-10,3
4,3894,3936,-27,18
4,3835,3876,-31,34
4,3763,3815,-30,35
4,3679,3752,-40,31
4,3582,3670,-57,38
4,3474,3567,-70,50
4,3354,3447,-70,62
4,3223,3327,-70,62
